Iterations,Ln(change)
986,-8.313510431317642
987,-8.320780306593424
988,-8.328048099065336
989,-8.33531381124139
990,-8.342577445673516
991,-8.349839004742124
992,-8.35709849096951
993,-8.364355906872595
994,-8.371611254900577
995,-8.378864537608926
996,-8.386115757567898
997,-8.393364917174054
998,-8.400612019044408
999,-8.407857065598671
1000,-8.415100059459151
1001,-8.422341003285647
1002,-8.429579899347194
1003,-8.43681675036981
1004,-8.444051558897092
1005,-8.45128432746766
1006,-8.458515058661463
1007,-8.465743755130738
1008,-8.472970419203389
1009,-8.480195053682872
1010,-8.487417661169822
1011,-8.494638244094071
1012,-8.501856805162308
1013,-8.509073347051983
1014,-8.516287872246663
1015,-8.523500383342158
1016,-8.530710883009919
1017,-8.537919373843936
1018,-8.545125858612794
1019,-8.552330339751657
1020,-8.559532819991155
1021,-8.566733302012539
1022,-8.573931788360506
1023,-8.581128281709681
1024,-8.588322784819953
1025,-8.595515300196768
1026,-8.602705830521149
1027,-8.609894378671266
1028,-8.617080947079767
1029,-8.624265538562947
1030,-8.631448155702806
1031,-8.63862880123058
1032,-8.645807477906153
1033,-8.652984188294157
1034,-8.660158935158877
1035,-8.667331721231914
1036,-8.67450254921678
1037,-8.681671421767474
1038,-8.688838341568216
1039,-8.696003311447141
1040,-8.703166334121022
1041,-8.710327412217017
1042,-8.71748654850355
1043,-8.724643745748242
1044,-8.731799006729844
1045,-8.738952334044054
1046,-8.746103730633342
1047,-8.753253199051873
1048,-8.760400742080341
1049,-8.767546362685449
1050,-8.77469006334393
1051,-8.781831847018186
1052,-8.788971716464383
1053,-8.796109674273378
1054,-8.803245723444704
1055,-8.810379866545889
1056,-8.817512106538212
1057,-8.824642446135437
1058,-8.831770888056464
1059,-8.838897435252903
1060,-8.846022090442096
1061,-8.853144856188766
1062,-8.86026573566533
1063,-8.867384731484085
1064,-8.874501846427211
1065,-8.881617083369585
1066,-8.888730445235812
1067,-8.89584193472212
1068,-8.90295155431639
1069,-8.910059307384664
1070,-8.917165196503888
1071,-8.924269224505554
1072,-8.931371394314572
1073,-8.938471708609963
1074,-8.94557017020222
1075,-8.952666782140616
1076,-8.959761547123565
1077,-8.966854467998244
1078,-8.973945547609354
1079,-8.981034788811908
1080,-8.988122194529694
1081,-8.995207767392976
1082,-9.002291510575924
1083,-9.009373426648358
1084,-9.016453518627209
1085,-9.02353178929497
1086,-9.03060824169529
1087,-9.037682878309125
1088,-9.044755702455593
1089,-9.051826716752036
1090,-9.058895923951326
1091,-9.065963327310582
1092,-9.073028929393383
1093,-9.08009273309275
1094,-9.08715474142681
1095,-9.094214957239732
1096,-9.101273383327612
1097,-9.108330022651769
1098,-9.115384878167099
1099,-9.122437952513604
1100,-9.12948924881067
1101,-9.136538769902085
1102,-9.143586518695665
1103,-9.150632498046562
1104,-9.157676710801685
1105,-9.164719159927406
1106,-9.171759848300033
1107,-9.178798778880692
1108,-9.18583595462655
1109,-9.192871378165494
1110,-9.19990505265815
1111,-9.20693698081034
1112,-9.213967165950095
1113,-9.220995610332013
1114,-9.228022317381255
1115,-9.235047289913362
1116,-9.242070530798232
1117,-9.249092042793587
1118,-9.25611182912707
1119,-9.263129892472241
1120,-9.27014623590199
1121,-9.277160862128527
1122,-9.284173774261513
1123,-9.291184975111491
1124,-9.298194467635414
1125,-9.305202255011983
1126,-9.312208339569075
1127,-9.319212724839367
1128,-9.326215413385848
1129,-9.333216408128454
1130,-9.340215712265556
1131,-9.347213328503953
1132,-9.354209259923064
1133,-9.36120350944177
1134,-9.368196079617029
1135,-9.375186973928761
1136,-9.382176194898527
1137,-9.38916374582795
1138,-9.39614962918668
1139,-9.40313384832215
1140,-9.410116405782908
1141,-9.417097304949271
1142,-9.424076548444837
1143,-9.431054139343786
1144,-9.438030080440292
1145,-9.445004374941526
1146,-9.451977025170013
1147,-9.458948034710556
1148,-9.46591740647513
1149,-9.472885142830227
1150,-9.479851247222445
1151,-9.48681572240142
1152,-9.493778571447931
1153,-9.500739797156642
1154,-9.507699402421284
1155,-9.514657390467834
1156,-9.52161376371076
1157,-9.528568525500823
1158,-9.53552167863723
1159,-9.542473226283846
